source_display,target_code,target_display
"METAMIZOL NORMON 575 MG 500 CAPSULAS",N02BB02,"Metamizole sodium"
"MIDAZOLAM B.BRAUN 5 MG/ML 10 AMPOLLAS 3 ML",N05CD08,"Midazolam"
"MIDAZOLAM NORMON 15 MG 50 AMPOLLAS 3 ML",N05CD08,"Midazolam"
"MIDAZOLAM NORMON 5 MG 10 AMPOLLAS 5 ML",N05CD08,"Midazolam"
"MORFINA 0.5 MG/ML SOL ORAL 50 ML FM",N02AA01,"Morphine"
"MOTILIUM 10 MG 30 COMPRIMIDOS",A03FA03,"Domperidone"
"MOTILIUM 5 MG/5 ML SUSPENSION 200 ML",A03FA03,"Domperidone"
"MOVICOL 6.9 G PEDIATRICO SABOR NEUTRO 30 SOBRES",A06AD65,"macrogol, combinations"
"MOVICOL 20 SOBRES",A06AD65,"macrogol, combinations"
"MUCONEB 3% SOLUCION SALINA HIPERTON INHALACION 30 AMPOLLAS",A12CA01,"sodium chloride"
"MUPIROCINA ISDIN 2% POMADA 15 G",D06AX09,"mupirocin"
"NEISVAC C 10 JERINGAS PRECA 0.5 ML",J07AM01,"tetanus toxoid"
"NIMBEX 2 MG/ML 5 AMP 5 ML",M03AC11,"cisatracurium"
"NIMENRIX 1 DOSIS 1 VIAL + 1 JERINGA DISOL 0.5 ML",J07AH08,"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated"
"NUTRICIO PARENTERAL >= 500 ML",B05BA,"Solutions for parenteral nutrition"
"NUTRICIO PARENTERAL CICLADA TOT EN UN",V06C,"INFANT FORMULAS"
"NUTRICIO PARENTERAL TOT EN UN",V06C,"INFANT FORMULAS"
"NUTRICIO TERAPEUTICA",V06,"GENERAL NUTRIENTS"
"OCTREOTIDA GP PHARM 1 MG 1 VIAL 5 ML MULTIDOSIS",H01CB02,"octreotide"
"OFT CUSI ERITROMICINA 0.5% POMADA 3.5 G",D10AF02,"erythromycin"
"OFTACILOX 0.3% COLIRIO 5 ML",S02AA15,"ciprofloxacin"
"OMEPRAZOL  G.E.S 40 MG 50 VIALES",A02BC01,"omeprazole"
"OMEPRAZOL 2 MG/ML SUSPENSION ORAL 100 ML",A02BC01,"omeprazole"
"OMEPRAZOL GOBENS EFG 20 MG 512 CAPSULAS GASTROR (BLISTER PVC-PVDC/AL)",A02BC01,"omeprazole"
"OMEPRAZOL NORMON 40 MG 50 VIALES",A02BC01,"omeprazole"
"ONDANSETRON DOMAC EFG 4 MG 500 COMPRIMIDOS RECUBIERTOS (TIRAS)",A04AA01,"ondansetron"
"ONDANSETRON NORMON 4 MG 50 AMPOLLAS 2 ML",A04AA01,"ondansetron"
"ONDANSETRON NORMON 8 MG 50 AMPOLLAS 4 ML",A04AA01,"ondansetron"
"OPSUMIT 10 MG 30 COMPRIMIDOS RECUBIERTOS",C02KX04,"macitentan"
"ORBENIN 125 MG/5 ML JARABE 60 ML",J01CF02,"cloxacillin"
"PAIDOCORT 3 MG/ML SOLUCION ORAL. 1 FRASCO DE 125 ML",H02AB06,"prednisolone"
"PANTOMICINA 100 MG/ML GRANULADO SUSP ORAL",J01FA01,"erythromycin"
"PARACETAMOL B.BRAUN EFG 10 MG/ML 10 BOTELLAS SOLUCION PERFUSION 50 ML",N02BE01,"Paracetamol"
"PARACETAMOL B.BRAUN EFG 1000 MG/ 100 ML 10 BOTELLAS SOLUCION PERFUSION",N02BE01,"Paracetamol"
"PARACETAMOL GES 10 MG/ML 100 ML 12 BOLSAS",N02BE01,"Paracetamol"
"PARACETAMOL GES 10 MG/ML 50 ML 12 BOLSAS",N02BE01,"Paracetamol"
